EDGE Rank,Order,Family,Species,Common Name,IUCN Category,Assigned IUCN2012,ED Score,ED IQR,ED 05Percentile,ED 95Percentile,EDGE Score,EDGE IQR,EDGE 05Percentile,EDGE 95Percentile
5930,FALCONIFORMES,Falconidae,Falco rupicoloides,Greater Kestrel,LC,LC,6.340172,1.375944,4.749959,8.154506,1.993362,0.865395,1.749193,2.214246
5931,PASSERIFORMES,Campephagidae,Coracina javensis,Javan Cuckooshrike,LC,LC,6.338751,4.453623,2.769329,13.027134,1.993169,1.69628,1.326897,2.640994
5932,PASSERIFORMES,Acanthizidae,Gerygone flavolateralis,Fan-tailed Gerygone,LC,LC,6.338285,3.404174,3.720357,13.248395,1.993105,1.482553,1.551884,2.656644
5933,GALLIFORMES,Phasianidae,Galloperdix spadicea,Red Spurfowl,LC,LC,6.333631,2.832841,3.836678,10.880837,1.992471,1.343606,1.576228,2.474927
5934,PASSERIFORMES,Estrildidae,Mandingoa nitidula,Green-backed Twinspot,LC,LC,6.333514,2.092801,4.057389,8.98103,1.992455,1.129077,1.62085,2.300686
5935,PASSERIFORMES,Rhipiduridae,Rhipidura albolimbata,Friendly Fantail,LC,LC,6.333175,2.208992,3.814543,8.757792,1.992409,1.165957,1.571641,2.278066
5936,GRUIFORMES,Rallidae,Fulica armillata,Red-gartered Coot,LC,LC,6.333098,2.129168,4.27169,9.353532,1.992398,1.140767,1.662351,2.337328
5937,PASSERIFORMES,Tyrannidae,Myiozetetes cayanensis,Rusty-margined Flycatcher,LC,LC,6.332638,2.17618,4.023713,9.153035,1.992335,1.155679,1.614169,2.317773
5938,PASSERIFORMES,Turdidae,Cochoa purpurea,Purple Cochoa,LC,LC,6.33227,2.66463,4.01027,10.364163,1.992285,1.298727,1.61149,2.430465
5939,PASSERIFORMES,Timaliidae,Alcippe klossi,Black-crowned Fulvetta,LC,LC,6.33199,3.498673,3.19893,12.183402,1.992247,1.503782,1.43483,2.578959
5940,PASSERIFORMES,Turdidae,Catharus gracilirostris,Black-billed Nightingale-thrush,LC,LC,6.329365,1.63476,4.52254,8.488804,1.991889,0.968792,1.708838,2.250113
5941,GRUIFORMES,Rallidae,Fulica gigantea,Giant Coot,LC,LC,6.327672,2.12591,4.287276,9.430619,1.991658,1.139726,1.665303,2.344746
5942,PASSERIFORMES,Timaliidae,Turdoides rufescens,Orange-billed Babbler,NT,NT,2.663698,1.567874,1.426992,5.263578,1.99162,1.636226,1.5798,2.527899
5943,COLUMBIFORMES,Columbidae,Columba oenas,Stock Dove,LC,LC,6.326991,2.833433,3.622503,9.272724,1.991565,1.343761,1.530936,2.329492
5944,PASSERIFORMES,Laniidae,Lanius tigrinus,Tiger Shrike,LC,LC,6.326398,2.304383,3.671018,8.703997,1.991484,1.19525,1.541377,2.272538
5945,ACCIPITRIFORMES,Accipitridae,Circus approximans,Swamp Harrier,LC,LC,6.325416,3.614845,3.645636,13.172933,1.99135,1.529278,1.535928,2.651334
5946,PASSERIFORMES,Timaliidae,Alcippe nipalensis,Nepal Fulvetta,LC,LC,6.323968,3.731315,3.021193,12.37764,1.991152,1.554203,1.391579,2.593585
5947,PASSERIFORMES,Turdidae,Cochoa viridis,Green Cochoa,LC,LC,6.323063,2.680651,3.980461,10.379396,1.991029,1.30309,1.605523,2.431804
5948,PASSERIFORMES,Pycnonotidae,Phyllastrephus fulviventris,Pale-olive Greenbul,LC,LC,6.322534,2.727116,4.090026,10.78978,1.990956,1.315635,1.627283,2.467233
5949,PASSERIFORMES,Meliphagidae,Myzomela pammelaena,Ebony Myzomela,LC,LC,6.322197,3.710708,3.564589,13.148194,1.99091,1.549838,1.518328,2.649587
5950,PASSERIFORMES,Sylviidae,Phylloscopus laetus,Red-faced Woodland-warbler,LC,LC,6.32178,1.514436,4.45621,8.283167,1.990853,0.922048,1.696754,2.228203
5951,CORACIIFORMES,Alcedinidae,Halcyon malimbica,Blue-breasted Kingfisher,LC,LC,6.320448,2.163204,4.10662,8.97294,1.990672,1.151585,1.630538,2.299875
5952,PASSERIFORMES,Corvidae,Dendrocitta formosae,Grey Treepie,LC,LC,6.320116,3.167559,3.827233,11.797757,1.990626,1.42733,1.574273,2.54927
5953,COLUMBIFORMES,Columbidae,Ducula latrans,Peale's Imperial-pigeon,LC,LC,6.319973,3.710585,3.477334,13.063212,1.990607,1.549812,1.499028,2.643562
5954,PASSERIFORMES,Acanthizidae,Gerygone inornata,Plain Gerygone,LC,LC,6.319724,3.501566,3.69265,13.573019,1.990573,1.504425,1.545997,2.679172
5955,CORACIIFORMES,Alcedinidae,Halcyon senegalensis,Woodland Kingfisher,LC,LC,6.31958,2.184226,4.134864,9.03267,1.990553,1.158209,1.636053,2.305847
5956,PASSERIFORMES,Corvidae,Dendrocitta frontalis,Collared Treepie,LC,LC,6.318236,3.028199,3.807958,11.804285,1.990369,1.393319,1.570273,2.54978
5957,PASSERIFORMES,Monarchidae,Hypothymis azurea,Black-naped Monarch,LC,LC,6.318028,2.446629,3.821955,9.047752,1.990341,1.237397,1.573179,2.307349
5958,PASSERIFORMES,Tyrannidae,Phyllomyias zeledoni,White-fronted Tyrannulet,,LC,6.317949,3.386519,3.433164,12.654326,1.99033,1.478536,1.489114,2.614056
5959,PASSERIFORMES,Pachycephalidae,Pachycephala melanura,Black-tailed Whistler,LC,LC,6.316496,1.957323,4.177622,8.821913,1.990131,1.084285,1.644346,2.284616
5960,COLUMBIFORMES,Columbidae,Ducula badia,Mountain Imperial-pigeon,LC,LC,6.316118,3.74192,3.435662,12.681841,1.99008,1.556442,1.489677,2.616069
